Revenue,LongtermdebtthEUR,ShareholdersfundsthEUR,ExportrevenuethEUR,TotalassetsthEUR,EBIT,ProfitLoss,InterestpaidthEUR,Exportshare,ROE,ROA,Indebt,Taxes
12684.957,1210.643,5652.535,8669.026,16706.07,9.289999999999999,.449,11.272,.68340999,.0016435104,.00055608532,.072467253,-2.431
6042.768,152.765,2823.405,0,5850.083,95.89,6.6,7.292,0,.033962537,.01639122,.026113305,81.998001
6543.481,108.984,2906.915,0,6442.799,73.26000000000001,6.355,7.081,0,.025201974,.011370834,.016915629,59.824001
6454.616,152.291,2937.895,0,6486.433,142.262,6.67,10.42,0,.048423104,.021932239,.023478389,125.172
6089.675,302.883,3029.174,0,6618.638,64.282,8.288,8.694000000000001,0,.021220967,.0097122705,.045762133,47.299999
8111.885,412.445,3131.394,0,7569.499,157.679,6.528,15.069,0,.05035425,.020830836,.054487754,136.082
7345.66,365.115,3287.287,0,7168.176,152.629,8.005000000000001,15.708,0,.046430081,.021292586,.050935552,128.916
8114.872,562.721,3375.784,0,8446.009,248.537,8.821,15.746,0,.073623493,.029426562,.06662567,223.97
8673.118,611.9880000000001,3565.633,0,9004.436,247.497,17.447,25.228,0,.069411799,.027486119,.067965165,204.82201
12674.346,830.566,3743.628,0,11710.238,291.008,13.289,24.393,0,.077734217,.024850734,.07092648,253.326
9647.041999999999,4671.493,6309.364,935.101,12483.327,258.506,55.38,86.053,.096931368,.040971801,.020708101,.37421858,117.073
11306.573,5134.134,6534.56,226.652,12983.718,463.009,202.085,79.574,.020046039,.070855424,.03566074,.39542866,181.35001
11141.029,5043.634,6629.982,172.036,12862.323,292.724,125.427,71.878,.015441662,.044151552,.022758253,.39212465,95.418999
11483.164,930.404,6694.051,366.676,13118.187,130.127,8.180999999999999,63.367,.031931616,.0194392,.0099195875,.070924737,58.578999
13155.482,792.895,6868.664,1020.701,14005.081,161.349,125.037,57.138,.0775875,.023490595,.011520747,.056614809,-20.826
12714.133,6205.21,7041.762,2224.647,14664.148,188.03,165.401,47.408,.17497434,.026702125,.01282243,.42315516,-24.778999
13368.587,964.592,7044.24,2055.402,14633.612,58.971,0,45.712,.15374863,.0083715208,.0040298323,.065916196,13.259
12564.052,1039.54,7050.498,2592.135,14162.456,8.105,0,41.103,.20631361,.0011495642,.00057228777,.073401108,-32.998001
8818.214,290.575,6912.528,0,12897.746,-104.467,-260.08,46.794,0,-.015112706,-.0080996323,.022529131,108.819
10320.886,4654.206,7048.79,0,13913.724,134.179,89.01300000000001,32.254,0,.019035749,.0096436441,.33450469,12.912
10873.039,526.706,6984.002,0,14816.448,46.812,-74.255,16.017,0,.0067027472,.0031594618,.035548735,105.05
12694.892,1231.729,7653.074,0,16337.578,149.714,23.657,148.172,0,.019562596,.009163782,.075392388,-22.115
